Model,Level,Target,RMSE,MAE,Exact_Match_%,Weighted_Kappa
4c. CLOUD (Diag),Item,Q4_Handwriting,0.38909606251453055,0.23656269972215704,82.77214022140221,0.835456737719445
4c. CLOUD (Diag),Item,Q5_Cutting,0.28935585395728863,0.17980290624824044,90.19833948339483,0.9281425650377659
4c. CLOUD (Diag),Item,Q6_Dressing_and_Hygiene,0.3468316047625241,0.23540974342862017,85.44741697416974,0.8746200400248869
4c. CLOUD (Diag),Item,Q7_Turning_in_Bed,0.3924115416091254,0.27090808433356317,80.58118081180811,0.8343302317749546
4c. CLOUD (Diag),Item,Q8_Walking,0.3687436251661171,0.21368660192765412,81.64206642066421,0.8303471941940284
4c. CLOUD (Diag),Item,Q9_Climbing_Stairs,0.5935257587381848,0.3797423735566016,69.64944649446494,0.7802167081028325
4c. CLOUD (Diag),Item,R_1_Dyspnea,0.4407619926641329,0.2581638794202404,81.25,0.766764589418749
4c. CLOUD (Diag),Item,R_2_Orthopnea,0.2835209125897575,0.12159820950457889,91.58210332103322,0.8218896410564563
4c. CLOUD (Diag),Item,R_3_Respiratory_Insufficiency,0.16217347697721526,0.04377934912726243,97.16328413284133,0.8906133670230306
4c. CLOUD (Diag),Domain,Bulbar,0.7101654402197033,0.461462625505999,,
4c. CLOUD (Diag),Domain,Fine_Motor,0.49164291029549667,0.35146853841294035,,
4c. CLOUD (Diag),Domain,Gross_Motor,0.9183413181501878,0.6867505765957204,,
4c. CLOUD (Diag),Domain,Respiratory,0.5063265939707087,0.29187271290344513,,
4c. CLOUD (Diag),Overall,Total Score,1.3950499127253888,1.0620652651629945,,
